chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
258,Non-Flammable Organics,"4,4-Isopropylidenediphenol",97%,1200,g,Prep Room,None,None,1,,
259,Non-Flammable Organics,Lauric Acid,Solid,1200,g,Prep Room,None,None,1,,
260,Non-Flammable Organics,L-Leucine,Solid,1200,g,Prep Room,None,None,1,,
261,Non-Flammable Organics,Luminol,Solid,1200,g,Prep Room,None,None,1,,
262,Non-Flammable Organics,Maleic Acid,Solid,1200,g,Prep Room,None,None,1,,
263,Non-Flammable Organics,Maleic Anhydride,Solid,1200,g,Prep Room,None,None,1,,
264,Non-Flammable Organics,Malonic Acid,99%,1200,g,Prep Room,None,None,1,,
265,Non-Flammable Organics,Malonic Acid in KBr,?,1200,L,Prep Room,None,None,1,,
266,Non-Flammable Organics,Melamine,99%,1200,g,Prep Room,None,None,1,,
267,Non-Flammable Organics,4-Methoxybenzaldehyde,98%,1200,mL,Prep Room,None,None,1,,
268,Non-Flammable Organics,2-Methoxyethyl Ether,99%,1200,mL,Prep Room,None,None,1,,
269,Non-Flammable Organics,Mesitylene,97%,1200,mL,Prep Room,None,None,1,,
270,Non-Flammable Organics,Methyl Benzoate,99%,1200,L,Prep Room,None,None,1,,
271,Non-Flammable Organics,3-Methyl-3-Pentanol,99%,1200,mL,Prep Room,None,None,1,,
272,Non-Flammable Organics,1-Methyl-2-Pyrrolidinone,99%,1200,mL,Prep Room,None,None,1,,
273,Non-Flammable Organics,Methyl Salicylate,98%,1200,mL,Prep Room,None,None,1,,
274,Non-Flammable Organics,2-Methylcyclohexanol,99%,1200,mL,Prep Room,None,None,1,,
275,Non-Flammable Organics,N-Methylpyrrolidinone,?,1200,mL,Prep Room,None,None,1,,
276,Non-Flammable Organics,Mineral Oil,95%,1200,L,Prep Room,None,None,1,,
277,Non-Flammable Organics,1:1 Methanol:Water,50%,1200,L,Prep Room,None,None,1,,
278,Non-Flammable Organics,Myristic Acid,Solid,1200,g,Prep Room,None,None,1,,
279,Non-Flammable Organics,Napthalene,Solid,1200,kg,Prep Room,None,None,1,,
280,Non-Flammable Organics,1-Naphthoic Acid,96%,1200,g,Prep Room,None,None,1,,
281,Non-Flammable Organics,Alpha-Naphthol,Solid,1200,g,Prep Room,None,None,1,,
282,Non-Flammable Organics,Beta-Naphthol,99%,1200,g,Prep Room,None,None,1,,
283,Non-Flammable Organics,1-Naphthylamine,99%,1200,g,Prep Room,None,None,1,,
284,Non-Flammable Organics,4'-Nitroacetophenone,98%,1200,g,Prep Room,None,None,1,,
285,Non-Flammable Organics,4-Nitroaniline,99%,1200,g,Prep Room,None,None,1,,
286,Non-Flammable Organics,p-Nitroanisole,Solid,1200,g,Prep Room,None,None,1,,
287,Non-Flammable Organics,p-Nitrobenzaldehyde,Solid,1200,g,Prep Room,None,None,1,,
288,Non-Flammable Organics,4-Nitrophenol,99%,1200,g,Prep Room,None,None,1,,
289,Non-Flammable Organics,4-(Nitrophenylazo) Resorcinol,Solid,1200,g,Prep Room,None,None,1,,
290,Non-Flammable Organics,1-Octanol,99%,1200,mL,Prep Room,None,None,1,,
291,Non-Flammable Organics,2-Octanone,98%,1200,g,Prep Room,None,None,1,,
292,Non-Flammable Organics,Oxalic Acid,98%,1200,g,Prep Room,None,None,1,,
293,Non-Flammable Organics,Oxalyl Chloride,98%,1200,g,Prep Room,None,None,1,,
294,Non-Flammable Organics,Palmitic Acid,Solid,1200,g,Prep Room,None,None,1,,
295,Non-Flammable Organics,Paraffin Wax,Solild,1200,blocks,Prep Room,None,None,1,,
296,Non-Flammable Organics,Peanut Oil,Household,1200,of a gallon,Prep Room,None,None,1,,
297,Non-Flammable Organics,"9,10-Phenanthrenequinone",95%,1200,g,Prep Room,None,None,1,,
298,Non-Flammable Organics,"1,10-Phenanthroline",99%,1200,g,Prep Room,None,None,1,,
299,Non-Flammable Organics,sec-Phenethyl Alcohol,98%,1200,g,Prep Room,None,None,1,,
300,Non-Flammable Organics,Phenol,Solid,1200,g,Prep Room,None,None,1,,
301,Non-Flammable Organics,Phenylacetic Acid,99%,1200,g,Prep Room,None,None,1,,
302,Non-Flammable Organics,4-Phenylthiosemicarbazide,99%,1200,g,Prep Room,None,None,1,,
303,Non-Flammable Organics,Phosphazene base,97%,1200,mL,Prep Room,None,None,1,,
304,Non-Flammable Organics,Phosphomolybdic Acid,Solid,1200,g,Prep Room,None,None,1,,
305,Non-Flammable Organics,Phthalate Acid,Solid,1200,g,Prep Room,None,None,1,,
306,Non-Flammable Organics,Polyvinyl Alcohol,99%,1200,kg,Prep Room,None,None,1,,
307,Non-Flammable Organics,Polyvinyl Alcohol,Solution,1200,mL,Prep Room,None,None,1,,
308,Non-Flammable Organics,Ponceau S Solution,5%,1200,mL,Prep Room,None,None,1,,
309,Non-Flammable Organics,Priopiophenone,99%,1200,g,Prep Room,None,None,1,,
310,Non-Flammable Organics,4-Propylbenzoic Acid,97%,1200,g,Prep Room,None,None,1,,
311,Non-Flammable Organics,Pyridine,Solution,1200,L,Prep Room,None,None,1,,
312,Non-Flammable Organics,Pyridinium Tribromide,90%,1200,g,Prep Room,None,None,1,,
313,Non-Flammable Organics,Salicylic Acid,Solid,1200,g,Prep Room,None,None,1,,
314,Non-Flammable Organics,Sebacoyl Chloride,97%,1200,g,Prep Room,None,None,1,,
315,Non-Flammable Organics,Semicarbazide Hydrochloride,99%,1200,g,Prep Room,None,None,1,,
316,Non-Flammable Organics,Sorbic Acid,99%,1200,g,Prep Room,None,None,1,,
317,Non-Flammable Organics,Stearic Acid,99%,1200,g,Prep Room,None,None,1,,
318,Non-Flammable Organics,trans-Stilbene,96%,1200,g,Prep Room,None,None,1,,
319,Non-Flammable Organics,Succinimide,Solid,1200,g,Prep Room,None,None,1,,
320,Non-Flammable Organics,Sucrose,Solid,1200,g,Prep Room,None,None,1,,
