chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
314,Non-Flammable Organics,Sebacoyl Chloride,97%,100,g,Prep Room,1,,,,,,
315,Non-Flammable Organics,Semicarbazide Hydrochloride,99%,50,g,Prep Room,1,,,,,,
316,Non-Flammable Organics,Sorbic Acid,99%,50,g,Prep Room,1,,,,,,
317,Non-Flammable Organics,Stearic Acid,99%,30,g,Prep Room,1,,,,,,
318,Non-Flammable Organics,trans-Stilbene,96%,150,g,Prep Room,1,,,,,,
319,Non-Flammable Organics,Succinimide,Solid,800,g,Prep Room,1,,,,,,
320,Non-Flammable Organics,Sucrose,Solid,1500,g,Prep Room,1,,,,,,
321,Non-Flammable Organics,Sulfanilic Acid,99%,140,g,Prep Room,1,,,,,,
322,Non-Flammable Organics,Sulfonic Acid,Solid,40,g,Prep Room,1,,,,,,
323,Non-Flammable Organics,Tartaric Acid,Solid,600,g,Prep Room,1,,,,,,
324,Non-Flammable Organics,p-Terphenyl,99%,20,g,Prep Room,1,,,,,,
325,Non-Flammable Organics,Tetrabutylammoniumhydroxide,25%,125,mL,Prep Room,1,,,,,,
326,Non-Flammable Organics,Tetrachloroethylene,95%,3,L,Prep Room,1,,,,,,
